statfarad,statfarad,statF,The statfarad is a unit of capacitance defined as 1.112650e-12 farad.
stathenry,stathenry,statH,The stathenry is a unit of inductance defined as 8.987552e11 henry.
statmho,statmho,,The statmho is a unit of electrical conductance defined as 1.112650e-12 siemens.
statohm,statohm,statΩ,The statohm is a unit of electrical resistance defined as 8.987552e11 ohm.
statweber,statweber,statWb,The statweber is a unit of magnetic flux defined as 2.9979e2 weber.
biot,biot,Bi,The biot is a unit of electric current defined as 10 ampere.
franklin,franklin,Fr,The franklin is a unit of electric charge defined as 3.335641e-10 coulomb.
ampere,ampere,A,"The ampere is a unit of electric current defined as the constant current that produces an attractive force of 2eâ€“7 newton per metre of length between two straight, parallel conductors of infinite length and negligible circular cross section placed one metre apart in a vacuum."
kelvin,kelvin,K,The kelvin is a unit of temperature defined as 1/273.16 of the thermodynamic temperature of the triple point of water.
mole,mole,mol,The mole is a unit of amount of substance defined as the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12.
candela,candela,cd,"The candela is a unit of luminous intensity defined as the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540e12 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian."
newton,newton,N,The newton is a unit of force defined as kilogram timesmetre divided by second squared.
pascal,pascal,Pa,The pascal is a unit of pressure and stress defined as newton divided by square metre = joule divided by cubic metre = kilogram divided by metre second squared.
joule,joule,J,The joule is a unit of energy defined as kilogram times square metre divided by second squared.
watt,watt,W,The watt is a unit of power defined as joule divided by second = newton times metre divided by second = volt times ampere = kilogram times square metre divided by second to the power 3.
coulomb,coulomb,C,The coulomb is a unit of electric charge defined as ampere times second = farad times volt.
volt,volt,V,The volt is a unit of electric potential defined as watt divided by ampere = joule divided by coulomb = newton times metre divided by ampere times second = kilogram times square metre divided by ampere times second to the power 3.
farad,farad,F,The farad is a unit of capacitance defined as ampere times second divided by volt = coulomb divided by volt = coulomb squared divided by joule = coulomb squared divided by newton times metre = second squared times coulomb squared divided by square metre times kilogram = second to the power 4 times ampere squared divided by square metre times kilogram.
ohm,ohm,Ω,The ohm is a unit of electrical resistance defined as volt divided by ampere = square metre times kilogram divided by second to the power 3 times ampere squared.
siemens,siemens,S,The siemens is a unit of electrical conductance defined as 1 divided by ohm = ampere divided by volt = coulomb squared times second divided by kilogram times square metre = ampere squared times second to the power 3 divided by kilogram times square metre.
weber,weber,Wb,The weber is a unit of magnetic flux defined as kilogram times square metre divided by second squared times ampere = volt times second = joule divided by ampere.
tesla,tesla,T,The tesla is a unit of magnetic flux density defined as volt times second divided by square metre = newton divided by ampere times metre = weber divided by square metre = kilogram divided by coulomb times second = kilogram divided by ampere times second squared.
