second-Angle,second (angle),"""",The second (angle) is a unit of angle defined as 4.848137e-6 radian.
steradian,steradian,sr,The steradian is a unit of solid angle defined as the solid angle subtended at the center of a sphere by a portion of the surface of the sphere that has an area equal to the square of the radius of the sphere.
BirminghamGauge,Birmingham gauge,G,
FrenchGauge,French gauge,Fr,
solarRadius,solar radius,R_☉,Solar radius is a unit used in astronomy to denote stellar or stellar system radii (http://en.wikipedia.org/wiki/solarRadius).
bar-Food,bar (food),,
bottle,bottle,,
bowl,bowl,,
cup,cup,,
dash,dash,,
deepBowl,deep bowl,,
drop,drop,,
fillet,fillet,,
glass,glass,,
handful,handful,,
piece,piece,,
pinch,pinch,,
portion,portion,,
scoop,scoop,,
servingSpoon,serving spoon,,
slice,slice,,
spread,spread,,
wedge,wedge,,
wineGlass,wine glass,,
gram,gram,g,The gram is a unit of mass defined as 1.0e-3 kilogram.
second-Time,second,s,The second is a unit of time defined as the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium 133 atom.
hertz,hertz,Hz,The hertz is a unit of frequency defined as 1 divided by second.
dyne,dyne,dyn,The dyne is a unit of force defined as 1.0e-5 newton.
erg,erg,erg,The erg is a unit of energy defined as 1.0e-7 joule.
poise,poise,P,The poise is a unit of dynamic viscosity defined as 1.0e-1 pascal second (time).
stokes,stokes,St,The stokes is a unit of kinematic viscosity defined as 1.0e-4 square metre per second (time).
gal,gal,Gal,The gal is a unit of acceleration defined as centimetre per second (time) squared.
stilb,stilb,sb,The stilb is a unit of luminance defined as 1.0e4 candela per square metre.
phot,phot,ph,The phot is a unit of illuminance defined as 1.0e4 lux.
abampere,abampere,abA,The abampere is a unit of electric current defined as 10 ampere.
abcoulomb,abcoulomb,abC,The abcoulomb is a unit of electric charge defined as 10 coulomb.
abfarad,abfarad,abF,The abfarad is a unit of capacitance defined as 1.0e9 farad.
abhenry,abhenry,abH,The abhenry is a unit of inductance defined as 1.0e-9 henry.
abmho,abmho,,The abmho is a unit of electrical conductance defined as 1.0e9 siemens.
abohm,abohm,abÎ©,The abohm is a unit of electrical resistance defined as 1.0e-9 ohm.
abvolt,abvolt,abV,The abvolt is a unit of electric potential defined as 1.0e-8 volt.
oersted,oersted,Oe,The oersted is a unit of magnetic field defined as 7.957747e1 ampere per metre.
gauss,gauss,G,The gauss is a unit of magnetic flux density defined as 1.0e-4 tesla.
maxwell,maxwell,Mx,The maxwell is a unit of magnetic flux defined as 1.0e-8 weber.
gilbert,gilbert,Gb,The gilbert is a unit of electric current defined as 7.957747e-1 ampere.
statcoulomb,statcoulomb,statC,The statcoulomb is a unit of electric charge defined as 3.335641e-10 coulomb.
statampere,statampere,statA,The statampere is a unit of electric current defined as 3.335641e-10 ampere.
statvolt,statvolt,statV,The statvolt is a unit of electric potential defined as 2.997925e2 volt.
stattesla,stattesla,statT,The stattesla is a unit of magnetic flux density defined as 2.9979e6 tesla.
