Unit,dessertspoon,dessertspoon,,The desserspoon is a unit of volume defined as 2 teaspoon.,volume
Unit,ton-Register,ton (register),,The register ton is a unit of volume defined as 100 cubic foot = 2.8316846592 cubic metre.,volume
Unit,degree,degree,°,The degree is a unit of angle defined as 1.745329e-2 radian.,angle
Unit,gon,gon,gon,The gon is a unit of angle defined as 1.570796e-2 radian.,angle
Unit,mil-Angle,mil (angle),,The mil (angle) is a unit of angle defined as 9.817477e-4 radian.,angle
Unit,minute-Angle,minute (angle),',The minute (angle) is a unit of angle defined as 2.908882e-4 radian.,angle
Unit,radian,radian,rad,The radian is a unit of angle defined as the angle subtended at the center of a circle by an arc that is equal in length to the radius of the circle.,angle
Unit,revolution,revolution,r,The revolution is a unit of angle defined as 6.283185 radian.,angle
Unit,second-Angle,second (angle),"""",The second (angle) is a unit of angle defined as 4.848137e-6 radian.,angle
Unit,steradian,steradian,sr,The steradian is a unit of solid angle defined as the solid angle subtended at the center of a sphere by a portion of the surface of the sphere that has an area equal to the square of the radius of the sphere.,angle
Unit,BirminghamGauge,Birmingham gauge,G,,
Unit,FrenchGauge,French gauge,Fr,,
Unit,solarRadius,solar radius,R_☉,Solar radius is a unit used in astronomy to denote stellar or stellar system radii (http://en.wikipedia.org/wiki/solarRadius).,astronomy
Unit,bar-Food,bar (food),,,
Unit,bottle,bottle,,,
Unit,bowl,bowl,,,
Unit,cup,cup,,,
Unit,dash,dash,,,
Unit,deepBowl,deep bowl,,,
Unit,drop,drop,,,
Unit,fillet,fillet,,,
Unit,glass,glass,,,
Unit,handful,handful,,,
Unit,piece,piece,,,one
Unit,pinch,pinch,,,
Unit,portion,portion,,,
Unit,scoop,scoop,,,
Unit,servingSpoon,serving spoon,,,
Unit,slice,slice,,,
Unit,spread,spread,,,
Unit,wedge,wedge,,,
Unit,wineGlass,wine glass,,,
Unit,gram,gram,g,The gram is a unit of mass defined as 1.0e-3 kilogram.,mass
Unit,second-Time,second,s,The second is a unit of time defined as the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium 133 atom.,time
Unit,hertz,hertz,Hz,The hertz is a unit of frequency defined as 1 divided by second.,frequency
Unit,dyne,dyne,dyn,The dyne is a unit of force defined as 1.0e-5 newton.,force
Unit,erg,erg,erg,The erg is a unit of energy defined as 1.0e-7 joule.,energy
Unit,poise,poise,P,The poise is a unit of dynamic viscosity defined as 1.0e-1 pascal second (time).,viscosity
Unit,stokes,stokes,St,The stokes is a unit of kinematic viscosity defined as 1.0e-4 square metre per second (time).,viscosity
Unit,gal,gal,Gal,The gal is a unit of acceleration defined as centimetre per second (time) squared.,acceleration
Unit,stilb,stilb,sb,The stilb is a unit of luminance defined as 1.0e4 candela per square metre.,luminance
Unit,phot,phot,ph,The phot is a unit of illuminance defined as 1.0e4 lux.,luminance
Unit,abampere,abampere,abA,The abampere is a unit of electric current defined as 10 ampere.,electricity
Unit,abcoulomb,abcoulomb,abC,The abcoulomb is a unit of electric charge defined as 10 coulomb.,electricity
Unit,abfarad,abfarad,abF,The abfarad is a unit of capacitance defined as 1.0e9 farad.,electricity
Unit,abhenry,abhenry,abH,The abhenry is a unit of inductance defined as 1.0e-9 henry.,electricity
Unit,abmho,abmho,,The abmho is a unit of electrical conductance defined as 1.0e9 siemens.,electricity
Unit,abohm,abohm,abÎ©,The abohm is a unit of electrical resistance defined as 1.0e-9 ohm.,electricity
Unit,abvolt,abvolt,abV,The abvolt is a unit of electric potential defined as 1.0e-8 volt.,electricity
Unit,oersted,oersted,Oe,The oersted is a unit of magnetic field defined as 7.957747e1 ampere per metre.,magnetism
Unit,gauss,gauss,G,The gauss is a unit of magnetic flux density defined as 1.0e-4 tesla.,magnetism
Unit,maxwell,maxwell,Mx,The maxwell is a unit of magnetic flux defined as 1.0e-8 weber.,magnetism
Unit,gilbert,gilbert,Gb,The gilbert is a unit of electric current defined as 7.957747e-1 ampere.,electricity
Unit,statcoulomb,statcoulomb,statC,The statcoulomb is a unit of electric charge defined as 3.335641e-10 coulomb.,electricity
Unit,statampere,statampere,statA,The statampere is a unit of electric current defined as 3.335641e-10 ampere.,electricity
Unit,statvolt,statvolt,statV,The statvolt is a unit of electric potential defined as 2.997925e2 volt.,electricity
Unit,stattesla,stattesla,statT,The stattesla is a unit of magnetic flux density defined as 2.9979e6 tesla.,magnetism
Unit,statfarad,statfarad,statF,The statfarad is a unit of capacitance defined as 1.112650e-12 farad.,electricity
Unit,stathenry,stathenry,statH,The stathenry is a unit of inductance defined as 8.987552e11 henry.,electricity
Unit,statmho,statmho,,The statmho is a unit of electrical conductance defined as 1.112650e-12 siemens.,electricity
