Code,Label,Symbol,Description
M47,circular mil,cmil,"Unit of an area, of which the size is given by a diameter of length of 1 mm (0,001 in) based on the formula: area = p·(diameter/2)²."
M48,square mile (based on U.S. survey foot),mi² (US survey),"Unit of the area, which is mainly common in the agriculture and forestry."
M49,chain (based on U.S. survey foot),ch (US survey) ,Unit of the length according the Anglo-American system of units.
M5,microcurie,µCi,
M50,furlong,fur,Unit commonly used in Great Britain at rural distances: 1 furlong = 40 rods = 10 chains (UK) = 1/8 mile = 1/10 furlong = 220 yards = 660 foot.
M51,foot (U.S. survey),ft (US survey) ,"Unit commonly used in the United States for ordnance survey.,"
M52,mile (based on U.S. survey foot),mi (US survey) ,Unit commonly used in the United States for ordnance survey.
M53,metre per pascal,m/Pa,SI base unit metre divided by the derived SI unit pascal.
M55,metre per radiant,m/rad,Unit of the translation factor for implementation from rotation to linear movement.
M56,shake,shake,Unit for a very short period.
M57,mile per minute,mi/min,Unit of velocity from the Imperial system of units.
M58,mile per second,mi/s,Unit of the velocity from the Imperial system of units.
M59,metre per second pascal,(m/s)/Pa,SI base unit meter divided by the product of SI base unit second and the derived SI unit pascal.
M60,metre per hour,m/h,SI base unit metre divided by the unit hour.
M61,inch per year,in/y,Unit of the length according to the Anglo-American and Imperial system of units divided by the unit common year with 365 days.
M62,kilometre per second,km/s,1000-fold of the SI base unit metre divided by the SI base unit second.
M63,inch per minute,in/min,Unit inch according to the Anglo-American and Imperial system of units divided by the unit minute.
M64,yard per second,yd/s,Unit yard according to the Anglo-American and Imperial system of units divided by the SI base unit second.
M65,yard per minute,yd/min,Unit yard according to the Anglo-American and Imperial system of units divided by the unit minute.
M66,yard per hour,yd/h,Unit yard according to the Anglo-American and Imperial system of units divided by the unit hour.
M67,acre-foot (based on U.S. survey foot),acre-ft (US survey),"Unit of the volume, which is used in the United States to measure/gauge the capacity of reservoirs."
M68,cord (128 ft3),cord,Traditional unit of the volume of stacked firewood which has been measured with a cord.
M69,cubic mile (UK statute),mi³,Unit of volume according to the Imperial system of units.
M7,micro-inch,µin,
M70,"ton, register",RT,Traditional unit of the cargo capacity.
M71,cubic metre per pascal,m³/Pa,Power of the SI base unit meter by exponent 3 divided by the derived SI base unit pascal.
M72,bel,B,Logarithmic relationship to base 10.
M73,kilogram per cubic metre pascal,(kg/m³)/Pa,SI base unit kilogram divided by the product of the power of the SI base unit metre with exponent 3 and the derived SI unit pascal.
M74,kilogram per pascal,kg/Pa,SI base unit kilogram divided by the derived SI unit pascal.
